patch1,patch2,dS,dL,group,treatment,individual,day
substrate_natural,habit1.1,0.97374017,2.4800983,habituation,light,1,1
substrate_natural,habit2.1,2.678615061,1.3141222,habituation,dark,2,1
substrate_natural,habit3.1,1.106404171,3.9383004,habituation,light,3,1
substrate_natural,habit4.1,1.237013689,0.7197989,habituation,light,4,1
substrate_natural,habit5.1,0.22570256,1.7123106,habituation,light,5,1
substrate_natural,habit6.1,1.494187072,1.7079751,habituation,light,6,1
substrate_natural,habit7.1,1.587481073,2.5505364,habituation,dark,7,1
substrate_natural,habit8.1,0.946986541,1.7031099,habituation,natural,8,1
substrate_natural,habit9.1,1.129232407,0.1128426,habituation,light,9,1
substrate_natural,habit10.1,1.244792269,1.5092847,habituation,natural,10,1
substrate_natural,habit11.1,1.042575504,0.6890098,habituation,natural,11,1
substrate_natural,habit12.1,1.543106866,2.9052524,habituation,light,12,1
substrate_natural,habit13.1,0.753363785,1.8911082,habituation,dark,13,1
substrate_natural,habit14.1,0.753812436,2.0574631,habituation,dark,14,1
substrate_natural,habit15.1,1.399733092,2.6073778,habituation,dark,15,1
substrate_natural,habit16.1,0.658431511,3.4511203,habituation,natural,16,1
substrate_natural,habit17.1,1.31017942,4.1683835,habituation,light,17,1
substrate_natural,habit18.1,0.825455908,3.619488,habituation,dark,18,1
substrate_natural,habit19.1,0.775470605,1.9905556,habituation,dark,19,1
substrate_natural,habit20.1,0.845132964,2.8255783,habituation,natural,20,1
substrate_natural,habit21.1,0.950538544,2.8227657,habituation,natural,21,1
substrate_natural,habit22.1,1.626213722,1.5869842,habituation,dark,22,1
substrate_natural,habit1.2,1.78444461,1.6104907,habituation,light,1,2
substrate_natural,habit2.2,0.847359795,0.2839008,habituation,dark,2,2
substrate_natural,habit3.2,1.203486554,1.9950947,habituation,light,3,2
substrate_natural,habit4.2,1.453483296,1.5265395,habituation,light,4,2
substrate_natural,habit5.2,3.36213739,2.4900411,habituation,light,5,2
substrate_natural,habit6.2,2.527984557,2.5284289,habituation,light,6,2
substrate_natural,habit7.2,2.173384594,2.6336835,habituation,dark,7,2
substrate_natural,habit8.2,3.610101805,2.7826671,habituation,natural,8,2
substrate_natural,habit9.2,1.222325173,1.2666127,habituation,light,9,2
substrate_natural,habit10.2,2.390300052,1.7165794,habituation,natural,10,2
substrate_natural,habit11.2,3.391708268,0.0446363,habituation,natural,11,2
substrate_natural,habit12.2,2.11075572,1.615363,habituation,light,12,2
substrate_natural,habit13.2,2.687055162,1.8173325,habituation,dark,13,2
substrate_natural,habit14.2,1.089437803,0.2471956,habituation,dark,14,2
substrate_natural,habit15.2,5.135151054,2.0006749,habituation,dark,15,2
substrate_natural,habit16.2,1.696705553,2.1889714,habituation,natural,16,2
substrate_natural,habit17.2,3.470699043,4.7877432,habituation,light,17,2
substrate_natural,habit18.2,5.332865773,0.41861,habituation,dark,18,2
substrate_natural,habit19.2,3.523637778,0.7600716,habituation,dark,19,2
substrate_natural,habit20.2,2.572644579,2.2177009,habituation,natural,20,2
substrate_natural,habit21.2,3.222885641,2.9348288,habituation,natural,21,2
substrate_natural,habit22.2,3.249224171,2.8954895,habituation,dark,22,2
substrate_natural,habit1.3,2.033580342,2.6764795,habituation,light,1,3
substrate_natural,habit2.3,1.519427532,2.4342224,habituation,dark,2,3
substrate_natural,habit3.3,1.299827977,5.1538197,habituation,light,3,3
substrate_natural,habit4.3,1.785528027,3.7642495,habituation,light,4,3
substrate_natural,habit5.3,2.758671817,2.5391306,habituation,light,5,3
substrate_natural,habit6.3,2.672350913,2.8716739,habituation,light,6,3
substrate_natural,habit7.3,1.816608857,2.2537888,habituation,dark,7,3
substrate_natural,habit8.3,2.18132865,2.5341871,habituation,natural,8,3
substrate_natural,habit9.3,1.741743882,0.8102391,habituation,light,9,3
substrate_natural,habit10.3,1.760795345,2.4610985,habituation,natural,10,3
substrate_natural,habit11.3,2.26724805,2.0918478,habituation,natural,11,3
substrate_natural,habit12.3,2.410690655,3.5627679,habituation,light,12,3
substrate_natural,habit13.3,4.16855807,1.6777438,habituation,dark,13,3
substrate_natural,habit14.3,2.169235249,1.482741,habituation,dark,14,3
substrate_natural,habit15.3,3.238429921,3.0763292,habituation,dark,15,3
substrate_natural,habit16.3,4.19936641,2.6084449,habituation,natural,16,3
substrate_natural,habit17.3,2.20011517,4.8054216,habituation,light,17,3
substrate_natural,habit18.3,3.188424029,2.6029165,habituation,dark,18,3
substrate_natural,habit19.3,2.46612484,3.0370443,habituation,dark,19,3
substrate_natural,habit20.3,3.332067244,2.011024,habituation,natural,20,3
substrate_natural,habit21.3,1.819845786,3.1102396,habituation,natural,21,3
substrate_natural,habit22.3,3.640652617,2.5511494,habituation,dark,22,3
substrate_natural,habit1.4,2.846201705,2.8246413,habituation,light,1,4
substrate_natural,habit2.4,2.031449391,1.9481192,habituation,dark,2,4
substrate_natural,habit3.4,1.395261879,3.0848386,habituation,light,3,4
substrate_natural,habit4.4,3.696496156,1.3729918,habituation,light,4,4
substrate_natural,habit5.4,2.947654238,2.9981609,habituation,light,5,4
substrate_natural,habit6.4,2.715927205,3.0578669,habituation,light,6,4
substrate_natural,habit7.4,1.740529108,2.4503983,habituation,dark,7,4
substrate_natural,habit8.4,2.810661346,3.2644198,habituation,natural,8,4
substrate_natural,habit9.4,3.304281571,2.7302563,habituation,light,9,4
substrate_natural,habit10.4,2.205814008,2.1360415,habituation,natural,10,4
substrate_natural,habit11.4,2.277773431,1.6984459,habituation,natural,11,4
substrate_natural,habit12.4,3.270972118,3.3863081,habituation,light,12,4
substrate_natural,habit13.4,2.310637499,3.5635323,habituation,dark,13,4
substrate_natural,habit14.4,2.280014862,2.198661,habituation,dark,14,4
substrate_natural,habit15.4,5.107106242,2.783724,habituation,dark,15,4
substrate_natural,habit16.4,2.620146367,2.7928234,habituation,natural,16,4
substrate_natural,habit17.4,2.007565724,3.2051243,habituation,light,17,4
substrate_natural,habit18.4,3.696484056,2.2668757,habituation,dark,18,4
substrate_natural,habit19.4,3.686436655,2.6524457,habituation,dark,19,4
substrate_natural,habit20.4,3.723864694,3.1347683,habituation,natural,20,4
substrate_natural,habit21.4,3.822178991,3.5815357,habituation,natural,21,4
substrate_natural,habit22.4,2.324653222,4.1623818,habituation,dark,22,4
substrate_natural,exp1.7,3.535018957,3.4446663,experiment,light,1,7
substrate_natural,exp2.7,1.882295789,1.4472206,experiment,dark,2,7
substrate_natural,exp3.7,3.197252705,4.7042305,experiment,light,3,7
substrate_natural,exp4.7,3.522617689,3.6802634,experiment,light,4,7
substrate_natural,exp5.7,1.343938315,6.079454,experiment,light,5,7
substrate_natural,exp6.7,1.692028032,4.6551055,experiment,light,6,7
substrate_natural,exp7.7,2.525127,3.9663727,experiment,dark,7,7
substrate_natural,exp8.7,2.164989443,4.110209,experiment,natural,8,7
substrate_natural,exp9.7,3.344825767,3.5299233,experiment,light,9,7
substrate_natural,exp10.7,0.852387364,3.2788424,experiment,natural,10,7
substrate_natural,exp11.7,3.57882439,3.144818,experiment,natural,11,7
substrate_natural,exp12.7,1.756154129,4.228503,experiment,light,12,7
substrate_natural,exp13.7,1.943511095,3.514063,experiment,dark,13,7
substrate_natural,exp14.7,1.442727763,2.7707056,experiment,dark,14,7
substrate_natural,exp15.7,6.065853133,2.5513652,experiment,dark,15,7
substrate_natural,exp16.7,3.924918789,1.9550422,experiment,natural,16,7
substrate_natural,exp17.7,2.935590609,4.461099,experiment,light,17,7
substrate_natural,exp18.7,1.946151678,1.65442,experiment,dark,18,7
substrate_natural,exp19.7,2.678814994,3.1549389,experiment,dark,19,7
substrate_natural,exp20.7,3.460983019,1.5188058,experiment,natural,20,7
substrate_natural,exp21.7,4.83714804,3.7130283,experiment,natural,21,7
substrate_natural,exp22.7,4.53863984,2.5518741,experiment,dark,22,7
substrate_natural,exp1.8,3.024911776,4.3262591,experiment,light,1,8
substrate_natural,exp2.8,1.339892341,1.8570644,experiment,dark,2,8
substrate_natural,exp3.8,2.238339008,4.5278563,experiment,light,3,8
substrate_natural,exp4.8,3.350228734,3.1439204,experiment,light,4,8
substrate_natural,exp5.8,4.127175525,3.9879077,experiment,light,5,8
substrate_natural,exp6.8,1.418872401,4.4854786,experiment,light,6,8
substrate_natural,exp7.8,2.746706693,2.4931494,experiment,dark,7,8
substrate_natural,exp8.8,4.038166141,2.6628575,experiment,natural,8,8
substrate_natural,exp9.8,3.587141647,3.9280533,experiment,light,9,8
substrate_natural,exp10.8,1.367453533,2.4227158,experiment,natural,10,8
substrate_natural,exp11.8,2.605588503,1.560297,experiment,natural,11,8
substrate_natural,exp12.8,2.245097673,4.3255909,experiment,light,12,8
substrate_natural,exp13.8,3.643334778,2.3776865,experiment,dark,13,8
substrate_natural,exp14.8,1.887630358,2.6526206,experiment,dark,14,8
substrate_natural,exp15.8,3.216995551,3.4420674,experiment,dark,15,8
substrate_natural,exp16.8,4.844710422,1.8492011,experiment,natural,16,8
substrate_natural,exp17.8,3.582222875,4.2874435,experiment,light,17,8
substrate_natural,exp18.8,6.252308463,0.7885669,experiment,dark,18,8
substrate_natural,exp19.8,2.345937774,1.8010329,experiment,dark,19,8
substrate_natural,exp20.8,3.917015445,2.5475804,experiment,natural,20,8
substrate_natural,exp21.8,3.169936499,2.976342,experiment,natural,21,8
substrate_natural,exp22.8,5.34537479,2.9098574,experiment,dark,22,8
substrate_natural,exp1.9,4.081701921,4.5490983,experiment,light,1,9
substrate_natural,exp2.9,1.079372847,0.8355334,experiment,dark,2,9
substrate_natural,exp3.9,3.624533646,4.1541111,experiment,light,3,9
substrate_natural,exp4.9,3.108200131,3.8542425,experiment,light,4,9
substrate_natural,exp5.9,4.523639481,2.9685832,experiment,light,5,9
substrate_natural,exp6.9,4.455138274,3.7843118,experiment,light,6,9
substrate_natural,exp7.9,3.176202852,1.9612014,experiment,dark,7,9
substrate_natural,exp8.9,4.729015668,2.8996261,experiment,natural,8,9
substrate_natural,exp9.9,3.165533928,3.0832081,experiment,light,9,9
substrate_natural,exp10.9,1.221331991,3.2314751,experiment,natural,10,9
substrate_natural,exp11.9,2.178437505,1.7614945,experiment,natural,11,9
substrate_natural,exp12.9,3.586763245,3.4131809,experiment,light,12,9
substrate_natural,exp13.9,1.928813191,3.0920457,experiment,dark,13,9
substrate_natural,exp14.9,0.796990131,1.2475489,experiment,dark,14,9
substrate_natural,exp15.9,3.395610674,2.8471209,experiment,dark,15,9
substrate_natural,exp16.9,3.447563263,2.2100854,experiment,natural,16,9
substrate_natural,exp17.9,2.206362595,4.8836677,experiment,light,17,9
substrate_natural,exp18.9,2.745948611,0.9784094,experiment,dark,18,9
substrate_natural,exp19.9,3.264023013,2.260708,experiment,dark,19,9
substrate_natural,exp20.9,1.833260735,2.3930728,experiment,natural,20,9
substrate_natural,exp21.9,4.86940939,3.0473628,experiment,natural,21,9
substrate_natural,exp22.9,3.919655545,2.8502622,experiment,dark,22,9
substrate_natural,exp1.10,1.183716725,5.6021318,experiment,light,1,10
substrate_natural,exp2.10,1.863471003,1.6104635,experiment,dark,2,10
substrate_natural,exp3.10,1.198756523,5.300748,experiment,light,3,10
substrate_natural,exp4.10,2.33260544,4.4648066,experiment,light,4,10
substrate_natural,exp5.10,2.588093077,4.339205,experiment,light,5,10
substrate_natural,exp6.10,1.719821362,4.2414472,experiment,light,6,10
substrate_natural,exp7.10,1.71461357,2.0108251,experiment,dark,7,10
substrate_natural,exp8.10,4.401886163,2.6393952,experiment,natural,8,10
substrate_natural,exp9.10,3.114836003,4.0389067,experiment,light,9,10
substrate_natural,exp10.10,1.342625666,2.1360114,experiment,natural,10,10
substrate_natural,exp11.10,1.245312069,3.4188456,experiment,natural,11,10
substrate_natural,exp12.10,1.896908155,4.2775359,experiment,light,12,10
substrate_natural,exp13.10,1.771334855,1.6230603,experiment,dark,13,10
substrate_natural,exp14.10,1.794497844,0.6845013,experiment,dark,14,10
substrate_natural,exp15.10,1.442087283,3.0457139,experiment,dark,15,10
substrate_natural,exp16.10,3.343647946,2.6433809,experiment,natural,16,10
substrate_natural,exp17.10,4.736099905,3.842751,experiment,light,17,10
substrate_natural,exp18.10,0.934310939,3.0175401,experiment,dark,18,10
substrate_natural,exp19.10,1.210384897,0.7080959,experiment,dark,19,10
substrate_natural,exp20.10,3.097931375,3.4660448,experiment,natural,20,10
substrate_natural,exp21.10,2.755249477,3.1665429,experiment,natural,21,10
substrate_natural,exp22.10,4.514290176,2.8317259,experiment,dark,22,10
substrate_natural,exp1.11,3.481188261,3.3333249,experiment,light,1,11
substrate_natural,exp2.11,1.142005523,0.7350851,experiment,dark,2,11
substrate_natural,exp3.11,1.373315899,5.9034687,experiment,light,3,11
substrate_natural,exp4.11,1.221645155,3.9883556,experiment,light,4,11
substrate_natural,exp5.11,1.317927498,4.4053636,experiment,light,5,11
substrate_natural,exp6.11,3.050228065,3.5626239,experiment,light,6,11
substrate_natural,exp7.11,1.613675611,0.8227663,experiment,dark,7,11
substrate_natural,exp8.11,1.662599267,2.9026061,experiment,natural,8,11
substrate_natural,exp9.11,2.304090333,2.8756275,experiment,light,9,11
substrate_natural,exp10.11,0.871026097,1.7445659,experiment,natural,10,11
substrate_natural,exp11.11,1.017808257,1.9149472,experiment,natural,11,11
substrate_natural,exp12.11,1.862071964,3.4129138,experiment,light,12,11
substrate_natural,exp13.11,1.884865903,3.2673131,experiment,dark,13,11
substrate_natural,exp14.11,1.91286441,0.4121696,experiment,dark,14,11
substrate_natural,exp15.11,1.902316687,1.7266167,experiment,dark,15,11
substrate_natural,exp16.11,1.206537607,1.8373006,experiment,natural,16,11
substrate_natural,exp17.11,1.782194664,4.2078396,experiment,light,17,11
substrate_natural,exp18.11,2.599298433,1.6842177,experiment,dark,18,11
substrate_natural,exp19.11,1.985437233,1.9644743,experiment,dark,19,11
substrate_natural,exp20.11,1.350593493,1.8078025,experiment,natural,20,11
substrate_natural,exp21.11,1.144837187,3.2889024,experiment,natural,21,11
substrate_natural,exp22.11,3.798565931,3.5660531,experiment,dark,22,11
substrate_light,habit1.1,2.495458451,3.6179916,habituation,light,1,1
substrate_light,habit2.1,1.107167513,4.7839677,habituation,dark,2,1
substrate_light,habit3.1,0.837666795,2.1597894,habituation,light,3,1
substrate_light,habit4.1,1.028290299,5.378291,habituation,light,4,1
substrate_light,habit5.1,1.405634028,4.3857792,habituation,light,5,1
substrate_light,habit6.1,2.989030491,4.3901148,habituation,light,6,1
substrate_light,habit7.1,1.320695851,3.5475534,habituation,dark,7,1
substrate_light,habit8.1,2.400647455,4.3949799,habituation,natural,8,1
substrate_light,habit9.1,2.301050502,5.9852473,habituation,light,9,1
substrate_light,habit10.1,2.018745883,4.5888052,habituation,natural,10,1
substrate_light,habit11.1,0.669227064,5.4090801,habituation,natural,11,1
substrate_light,habit12.1,3.113450287,3.1928374,habituation,light,12,1
substrate_light,habit13.1,1.287743367,4.2069817,habituation,dark,13,1
substrate_light,habit14.1,0.942233328,4.0406268,habituation,dark,14,1
substrate_light,habit15.1,2.903249534,3.490712,habituation,dark,15,1
substrate_light,habit16.1,2.147302775,2.6469695,habituation,natural,16,1
substrate_light,habit17.1,2.883763875,1.9297063,habituation,light,17,1
substrate_light,habit18.1,2.053526605,2.4786018,habituation,dark,18,1
substrate_light,habit19.1,1.906753584,4.1075342,habituation,dark,19,1
substrate_light,habit20.1,1.173089503,3.2725116,habituation,natural,20,1
substrate_light,habit21.1,2.449706687,3.2753241,habituation,natural,21,1
substrate_light,habit22.1,3.107510375,4.5111056,habituation,dark,22,1
substrate_light,habit1.2,2.969048624,4.4875992,habituation,light,1,2
substrate_light,habit2.2,1.666785353,5.814189,habituation,dark,2,2
substrate_light,habit3.2,2.260153775,4.1029952,habituation,light,3,2
substrate_light,habit4.2,2.67256543,4.5715504,habituation,light,4,2
substrate_light,habit5.2,4.888175426,3.6080488,habituation,light,5,2
substrate_light,habit6.2,3.974106993,3.569661,habituation,light,6,2
substrate_light,habit7.2,2.944962628,3.4644063,habituation,dark,7,2
substrate_light,habit8.2,5.116979928,3.3154228,habituation,natural,8,2
substrate_light,habit9.2,2.314380195,4.8314772,habituation,light,9,2
substrate_light,habit10.2,3.885507278,4.3815104,habituation,natural,10,2
substrate_light,habit11.2,4.960170914,6.1427261,habituation,natural,11,2
substrate_light,habit12.2,3.506163707,4.4827269,habituation,light,12,2
substrate_light,habit13.2,4.123063914,4.2807573,habituation,dark,13,2
substrate_light,habit14.2,2.107744054,5.8508943,habituation,dark,14,2
substrate_light,habit15.2,6.648149671,4.097415,habituation,dark,15,2
substrate_light,habit16.2,3.003907515,3.9091185,habituation,natural,16,2
substrate_light,habit17.2,5.014461913,1.3103467,habituation,light,17,2
substrate_light,habit18.2,6.879085985,5.6794799,habituation,dark,18,2
substrate_light,habit19.2,5.019446197,5.3380183,habituation,dark,19,2
substrate_light,habit20.2,4.081810647,3.8803889,habituation,natural,20,2
substrate_light,habit21.2,4.59939155,3.163261,habituation,natural,21,2
substrate_light,habit22.2,4.683376895,3.2026003,habituation,dark,22,2
substrate_light,habit1.3,3.46932284,3.4216104,habituation,light,1,3
substrate_light,habit2.3,2.933186359,3.6638674,habituation,dark,2,3
substrate_light,habit3.3,2.296348964,0.9442701,habituation,light,3,3
substrate_light,habit4.3,3.199942092,2.3338403,habituation,light,4,3
substrate_light,habit5.3,4.177317738,3.5589593,habituation,light,5,3
substrate_light,habit6.3,4.155219488,3.226416,habituation,light,6,3
substrate_light,habit7.3,3.202561586,3.844301,habituation,dark,7,3
substrate_light,habit8.3,3.65433045,3.5639027,habituation,natural,8,3
substrate_light,habit9.3,2.632471215,5.2878507,habituation,light,9,3
substrate_light,habit10.3,3.016467448,3.6369914,habituation,natural,10,3
substrate_light,habit11.3,3.575207952,4.0062421,habituation,natural,11,3
substrate_light,habit12.3,3.828531043,2.535322,habituation,light,12,3
substrate_light,habit13.3,5.705246805,4.4203461,habituation,dark,13,3
substrate_light,habit14.3,3.595826819,4.6153489,habituation,dark,14,3
substrate_light,habit15.3,4.721573807,3.0217607,habituation,dark,15,3
substrate_light,habit16.3,5.65171967,3.489645,habituation,natural,16,3
substrate_light,habit17.3,3.696641526,1.2926682,habituation,light,17,3
substrate_light,habit18.3,4.717865453,3.4951734,habituation,dark,18,3
substrate_light,habit19.3,3.853370934,3.0610456,habituation,dark,19,3
substrate_light,habit20.3,4.812770621,4.0870658,habituation,natural,20,3
substrate_light,habit21.3,3.021624113,2.9878502,habituation,natural,21,3
substrate_light,habit22.3,5.191943544,3.5469404,habituation,dark,22,3
substrate_light,habit1.4,4.216108437,3.2734485,habituation,light,1,4
substrate_light,habit2.4,3.538639773,4.1499707,habituation,dark,2,4
substrate_light,habit3.4,2.094291186,3.0132513,habituation,light,3,4
substrate_light,habit4.4,5.223552174,4.7250981,habituation,light,4,4
substrate_light,habit5.4,4.434315359,3.0999289,habituation,light,5,4
substrate_light,habit6.4,4.179484362,3.0402229,habituation,light,6,4
substrate_light,habit7.4,3.007555812,3.6476915,habituation,dark,7,4
substrate_light,habit8.4,4.191788723,2.8336701,habituation,natural,8,4
substrate_light,habit9.4,4.761498569,3.3678336,habituation,light,9,4
substrate_light,habit10.4,3.672855329,3.9620483,habituation,natural,10,4
substrate_light,habit11.4,3.676189982,4.3996439,habituation,natural,11,4
substrate_light,habit12.4,4.754979409,2.7117817,habituation,light,12,4
substrate_light,habit13.4,3.809849734,2.5345575,habituation,dark,13,4
substrate_light,habit14.4,3.687620011,3.8994289,habituation,dark,14,4
substrate_light,habit15.4,6.625810214,3.3143659,habituation,dark,15,4
substrate_light,habit16.4,4.096212705,3.3052665,habituation,natural,16,4
substrate_light,habit17.4,3.520268832,2.8929655,habituation,light,17,4
substrate_light,habit18.4,5.210597448,3.8312142,habituation,dark,18,4
substrate_light,habit19.4,5.180929753,3.4456442,habituation,dark,19,4
substrate_light,habit20.4,5.256107616,2.9633216,habituation,natural,20,4
substrate_light,habit21.4,5.252000448,2.5165541,habituation,natural,21,4
substrate_light,habit22.4,3.691221907,1.9357081,habituation,dark,22,4
substrate_light,exp1.7,4.989040613,2.6534235,experiment,light,1,7
substrate_light,exp2.7,3.129953514,4.6508693,experiment,dark,2,7
substrate_light,exp3.7,4.519022931,1.3938593,experiment,light,3,7
substrate_light,exp4.7,5.012755764,2.4178264,experiment,light,4,7
substrate_light,exp5.7,2.312005077,0.0186359,experiment,light,5,7
