Name,code,individual,day,experiment,treatment
X1.1,habit1.1,1,1,habituation,natural
X2.1,habit2.1,2,1,habituation,natural
X3.1,habit3.1,3,1,habituation,natural
X4.1,habit4.1,4,1,habituation,natural
X5.1,habit5.1,5,1,habituation,natural
X6.1,habit6.1,6,1,habituation,natural
X7.1,habit7.1,7,1,habituation,natural
X8.1,habit8.1,8,1,habituation,natural
X9.1,habit9.1,9,1,habituation,natural
X10.1,habit10.1,10,1,habituation,natural
X11.1,habit11.1,11,1,habituation,natural
X12.1,habit12.1,12,1,habituation,natural
X13.1,habit13.1,13,1,habituation,natural
X14.1,habit14.1,14,1,habituation,natural
X15.1,habit15.1,15,1,habituation,natural
X16.1,habit16.1,16,1,habituation,natural
X17.1,habit17.1,17,1,habituation,natural
X18.1,habit18.1,18,1,habituation,natural
X19.1,habit19.1,19,1,habituation,natural
X20.1,habit20.1,20,1,habituation,natural
X21.1,habit21.1,21,1,habituation,natural
X22.1,habit22.1,22,1,habituation,natural
X1.2,habit1.2,1,2,habituation,natural
X2.2,habit2.2,2,2,habituation,natural
X3.2,habit3.2,3,2,habituation,natural
X4.2,habit4.2,4,2,habituation,natural
X5.2,habit5.2,5,2,habituation,natural
X6.2,habit6.2,6,2,habituation,natural
X7.2,habit7.2,7,2,habituation,natural
X8.2,habit8.2,8,2,habituation,natural
X9.2,habit9.2,9,2,habituation,natural
X10.2,habit10.2,10,2,habituation,natural
X11.2,habit11.2,11,2,habituation,natural
X12.2,habit12.2,12,2,habituation,natural
X13.2,habit13.2,13,2,habituation,natural
X14.2,habit14.2,14,2,habituation,natural
X15.2,habit15.2,15,2,habituation,natural
X16.2,habit16.2,16,2,habituation,natural
X17.2,habit17.2,17,2,habituation,natural
X18.2,habit18.2,18,2,habituation,natural
X19.2,habit19.2,19,2,habituation,natural
X20.2,habit20.2,20,2,habituation,natural
X21.2,habit21.2,21,2,habituation,natural
X22.2,habit22.2,22,2,habituation,natural
X1.3,habit1.3,1,3,habituation,natural
X2.3,habit2.3,2,3,habituation,natural
X3.3,habit3.3,3,3,habituation,natural
X4.3,habit4.3,4,3,habituation,natural
X5.3,habit5.3,5,3,habituation,natural
X6.3,habit6.3,6,3,habituation,natural
X7.3,habit7.3,7,3,habituation,natural
X8.3,habit8.3,8,3,habituation,natural
X9.3,habit9.3,9,3,habituation,natural
X10.3,habit10.3,10,3,habituation,natural
X11.3,habit11.3,11,3,habituation,natural
X12.3,habit12.3,12,3,habituation,natural
X13.3,habit13.3,13,3,habituation,natural
X14.3,habit14.3,14,3,habituation,natural
X15.3,habit15.3,15,3,habituation,natural
X16.3,habit16.3,16,3,habituation,natural
X17.3,habit17.3,17,3,habituation,natural
X18.3,habit18.3,18,3,habituation,natural
X19.3,habit19.3,19,3,habituation,natural
X20.3,habit20.3,20,3,habituation,natural
X21.3,habit21.3,21,3,habituation,natural
X22.3,habit22.3,22,3,habituation,natural
X1.4,habit1.4,1,4,habituation,natural
X2.4,habit2.4,2,4,habituation,natural
X3.4,habit3.4,3,4,habituation,natural
X4.4,habit4.4,4,4,habituation,natural
X5.4,habit5.4,5,4,habituation,natural
X6.4,habit6.4,6,4,habituation,natural
X7.4,habit7.4,7,4,habituation,natural
X8.4,habit8.4,8,4,habituation,natural
X9.4,habit9.4,9,4,habituation,natural
X10.4,habit10.4,10,4,habituation,natural
X11.4,habit11.4,11,4,habituation,natural
X12.4,habit12.4,12,4,habituation,natural
X13.4,habit13.4,13,4,habituation,natural
X14.4,habit14.4,14,4,habituation,natural
X15.4,habit15.4,15,4,habituation,natural
X16.4,habit16.4,16,4,habituation,natural
X17.4,habit17.4,17,4,habituation,natural
X18.4,habit18.4,18,4,habituation,natural
X19.4,habit19.4,19,4,habituation,natural
X20.4,habit20.4,20,4,habituation,natural
X21.4,habit21.4,21,4,habituation,natural
X22.4,habit22.4,22,4,habituation,natural
X1.7,exp1.7,1,7,experiment,light
X2.7,exp2.7,2,7,experiment,dark
X3.7,exp3.7,3,7,experiment,light
X4.7,exp4.7,4,7,experiment,light
X5.7,exp5.7,5,7,experiment,light
X6.7,exp6.7,6,7,experiment,light
X7.7,exp7.7,7,7,experiment,dark
X8.7,exp8.7,8,7,experiment,natural
X9.7,exp9.7,9,7,experiment,light
X10.7,exp10.7,10,7,experiment,natural
X11.7,exp11.7,11,7,experiment,natural
X12.7,exp12.7,12,7,experiment,light
X13.7,exp13.7,13,7,experiment,dark
X14.7,exp14.7,14,7,experiment,dark
X15.7,exp15.7,15,7,experiment,dark
X16.7,exp16.7,16,7,experiment,natural
X17.7,exp17.7,17,7,experiment,light
X18.7,exp18.7,18,7,experiment,dark
X19.7,exp19.7,19,7,experiment,dark
X20.7,exp20.7,20,7,experiment,natural
X21.7,exp21.7,21,7,experiment,natural
X22.7,exp22.7,22,7,experiment,dark
X1.8,exp1.8,1,8,experiment,light
X2.8,exp2.8,2,8,experiment,dark
X3.8,exp3.8,3,8,experiment,light
X4.8,exp4.8,4,8,experiment,light
X5.8,exp5.8,5,8,experiment,light
X6.8,exp6.8,6,8,experiment,light
X7.8,exp7.8,7,8,experiment,dark
X8.8,exp8.8,8,8,experiment,natural
X9.8,exp9.8,9,8,experiment,light
X10.8,exp10.8,10,8,experiment,natural
X11.8,exp11.8,11,8,experiment,natural
X12.8,exp12.8,12,8,experiment,light
X13.8,exp13.8,13,8,experiment,dark
X14.8,exp14.8,14,8,experiment,dark
X15.8,exp15.8,15,8,experiment,dark
X16.8,exp16.8,16,8,experiment,natural
X17.8,exp17.8,17,8,experiment,light
X18.8,exp18.8,18,8,experiment,dark
X19.8,exp19.8,19,8,experiment,dark
X20.8,exp20.8,20,8,experiment,natural
X21.8,exp21.8,21,8,experiment,natural
X22.8,exp22.8,22,8,experiment,dark
X1.9,exp1.9,1,9,experiment,light
X2.9,exp2.9,2,9,experiment,dark
X3.9,exp3.9,3,9,experiment,light
X4.9,exp4.9,4,9,experiment,light
X5.9,exp5.9,5,9,experiment,light
X6.9,exp6.9,6,9,experiment,light
X7.9,exp7.9,7,9,experiment,dark
X8.9,exp8.9,8,9,experiment,natural
X9.9,exp9.9,9,9,experiment,light
X10.9,exp10.9,10,9,experiment,natural
X11.9,exp11.9,11,9,experiment,natural
X12.9,exp12.9,12,9,experiment,light
X13.9,exp13.9,13,9,experiment,dark
X14.9,exp14.9,14,9,experiment,dark
X15.9,exp15.9,15,9,experiment,dark
X16.9,exp16.9,16,9,experiment,natural
X17.9,exp17.9,17,9,experiment,light
X18.9,exp18.9,18,9,experiment,dark
X19.9,exp19.9,19,9,experiment,dark
X20.9,exp20.9,20,9,experiment,natural
X21.9,exp21.9,21,9,experiment,natural
X22.9,exp22.9,22,9,experiment,dark
X1.10,exp1.10,1,10,experiment,light
X2.10,exp2.10,2,10,experiment,dark
X3.10,exp3.10,3,10,experiment,light
X4.10,exp4.10,4,10,experiment,light
X5.10,exp5.10,5,10,experiment,light
X6.10,exp6.10,6,10,experiment,light
X7.10,exp7.10,7,10,experiment,dark
X8.10,exp8.10,8,10,experiment,natural
X9.10,exp9.10,9,10,experiment,light
X10.10,exp10.10,10,10,experiment,natural
X11.10,exp11.10,11,10,experiment,natural
X12.10,exp12.10,12,10,experiment,light
X13.10,exp13.10,13,10,experiment,dark
X14.10,exp14.10,14,10,experiment,dark
X15.10,exp15.10,15,10,experiment,dark
X16.10,exp16.10,16,10,experiment,natural
X17.10,exp17.10,17,10,experiment,light
X18.10,exp18.10,18,10,experiment,dark
X19.10,exp19.10,19,10,experiment,dark
X20.10,exp20.10,20,10,experiment,natural
X21.10,exp21.10,21,10,experiment,natural
X22.10,exp22.10,22,10,experiment,dark
X1.11,exp1.11,1,11,experiment,light
X2.11,exp2.11,2,11,experiment,dark
X3.11,exp3.11,3,11,experiment,light
X4.11,exp4.11,4,11,experiment,light
X5.11,exp5.11,5,11,experiment,light
X6.11,exp6.11,6,11,experiment,light
X7.11,exp7.11,7,11,experiment,dark
X8.11,exp8.11,8,11,experiment,natural
X9.11,exp9.11,9,11,experiment,light
X10.11,exp10.11,10,11,experiment,natural
X11.11,exp11.11,11,11,experiment,natural
X12.11,exp12.11,12,11,experiment,light
X13.11,exp13.11,13,11,experiment,dark
X14.11,exp14.11,14,11,experiment,dark
X15.11,exp15.11,15,11,experiment,dark
X16.11,exp16.11,16,11,experiment,natural
X17.11,exp17.11,17,11,experiment,light
X18.11,exp18.11,18,11,experiment,dark
X19.11,exp19.11,19,11,experiment,dark
X20.11,exp20.11,20,11,experiment,natural
X21.11,exp21.11,21,11,experiment,natural
X22.11,exp22.11,22,11,experiment,dark
